value,daily_change,volatility_7d,cluster
36,0.0,3.457221565416493,2
41,5.0,3.8483144114694845,2
42,1.0,3.7606990231680406,2
42,0.0,3.3594217189442284,2
48,6.0,3.728908942943205,1
51,3.0,2.911389784310987,1
47,-4.0,3.4086724129853736,2
52,5.0,3.54562104171166,1
54,2.0,3.3380918415851073,1
52,-2.0,3.644957377763723,1
56,4.0,3.6968455021364597,1
49,-7.0,4.525062483125553,2
28,-21.0,8.938946353165,2
23,-5.0,8.960229588895267,2
24,1.0,8.445906306213283,2
26,2.0,8.445906306213283,2
28,2.0,8.73416935293301,2
21,-7.0,8.144527815247075,2
15,-6.0,8.112306935115546,2
14,-1.0,3.9157800414902355,2
12,-2.0,3.690399384761432,2
15,3.0,3.988077469754297,2
9,-6.0,4.035556254807289,2
17,8.0,5.503245795502344,2
11,-6.0,5.34967733784455,2
14,3.0,5.145501965424792,2
18,4.0,5.349677337844549,2
19,1.0,5.228129047119365,2
13,-6.0,5.736267244886855,2
15,2.0,5.1777914026661715,2
17,2.0,4.2031734043061535,2
12,-5.0,3.976119189552009,2
19,7.0,4.680252333449748,2
13,-6.0,5.023753102820157,2
11,-2.0,4.980915960897527,2
11,0.0,4.498677054212177,2
14,3.0,4.598136268408871,2
19,5.0,4.956957592256411,2
15,-4.0,4.790864322059315,2
14,-1.0,3.8172540616821,2
14,0.0,3.023715784073803,2
10,-4.0,3.3380918415851077,2
11,1.0,3.3665016461206796,2
13,2.0,3.236694374850735,2
17,4.0,2.984084768360614,2
23,6.0,3.2877840272018646,2
21,-2.0,3.415650255319852,2
27,6.0,3.848314411469482,2
35,8.0,3.4572215654164884,2
28,-7.0,5.287001130355549,2
31,3.0,5.287001130355549,2
25,-6.0,6.121780008803844,2
33,8.0,6.425396041156856,2
26,-7.0,7.111359122659219,2
29,3.0,6.8243262357121015,2
21,-8.0,6.480740698407858,2
24,3.0,6.294366339755541,2
23,-1.0,6.094494002200436,2
26,3.0,5.843188953205011,2
24,-2.0,4.715728494951251,2
30,6.0,4.649628761422524,2
33,3.0,4.649628761422524,2
48,15.0,5.6103645582252835,1
36,-12.0,8.240434570140208,2
31,-5.0,8.591246929842242,2
39,8.0,8.9708522714506,0
39,0.0,8.858678822273127,0
42,3.0,8.71233389539002,0
37,-5.0,9.034326074425671,0
19,-18.0,8.85867882227313,2
22,3.0,8.445906306213283,2
21,-1.0,8.34380294704085,2
16,-5.0,7.273565968956484,2
27,11.0,9.068522219088136,0
24,-3.0,8.829064557040056,2
28,4.0,9.068522219088136,0
29,1.0,5.287001130355553,2
31,2.0,5.250850271282596,2
35,4.0,5.228129047119368,2
30,-5.0,5.228129047119368,2
27,-3.0,3.651483716701102,2
33,6.0,3.9880774697542987,2
37,4.0,3.9880774697542987,2
35,-2.0,4.1804533816549645,2
41,6.0,4.613644360558606,2
39,-2.0,4.613644360558607,2
35,-4.0,4.423960733486287,2
21,-14.0,7.104659772022194,2
22,1.0,6.528326555791123,2
17,-5.0,6.121780008803849,2
23,6.0,6.993193970194297,2
22,-1.0,6.156684327197707,2
19,-3.0,6.14894493466349,2
27,8.0,7.3354975161555185,2
21,-6.0,5.354126134736333,2
14,-7.0,5.92814112035612,2
18,4.0,5.928141120356119,2
37,19.0,9.20144916122817,0
42,5.0,9.154754164341266,0
40,-2.0,9.055385138137412,0
46,6.0,8.901578244226984,0
38,-8.0,9.253056123197759,0
48,10.0,8.571825387640045,0
48,0.0,8.769536014223434,0
43,-5.0,6.440201120787335,2
43,0.0,6.175990377490651,2
38,-5.0,6.447590912226716,2
63,25.0,11.530497862294624,0
65,2.0,10.60547926668995,0
59,-6.0,10.78358540958035,0
59,0.0,10.78358540958035,0
61,2.0,10.390013520317522,0
63,2.0,10.334869317486493,0
69,6.0,9.761440174775144,1
47,-22.0,9.4112394811432,0
40,-7.0,9.342682392424258,0
39,-1.0,9.317162862670362,0
39,0.0,9.317162862670362,0
42,3.0,9.4112394811432,0
41,-1.0,9.227288721117223,0
44,3.0,8.791229395580249,0
36,-8.0,4.391550328268394,2
35,-1.0,3.68394198806503,2
42,7.0,4.685336802448774,2
56,14.0,6.924765768773763,1
54,-2.0,7.11135912265922,1
55,1.0,7.023769168568488,1
55,0.0,7.044078904941905,1
56,1.0,5.698788509515896,1
56,0.0,5.597618541248882,1
54,-2.0,5.559205150447485,1
55,1.0,1.3451854182690826,1
55,0.0,1.0690449676496763,1
54,-1.0,1.0690449676496774,1
58,4.0,1.902379462422671,1
56,-2.0,2.0816659994661224,1
56,0.0,2.0816659994661224,1
55,-1.0,1.9518001458970549,1
62,7.0,3.2659863237108957,1
56,-6.0,4.220133150686571,1
50,-6.0,4.825527358301293,2
44,-6.0,4.725815626252606,2
46,2.0,4.961758520831863,2
