classification,closed_pnl,closed_pnl,closed_pnl,closed_pnl,size_usd,size_usd
,mean,median,std,count,mean,sum
Extreme Fear,50.33722842942309,0.0,1149.2774917922495,21303,5465.257596582641,116426382.58
Extreme Greed,65.08514411816824,0.0,732.1905891467442,40180,3164.8791281732206,127164843.37
Fear,46.62682657005365,0.0,903.1585588706416,61510,7906.820952365469,486348556.78
Greed,50.12457860433961,0.0,1166.6666642387586,48668,5537.641554203995,269505939.16
Neutral,32.91016307398326,0.0,558.5672619119846,39563,4846.490927634406,191741720.57
